id,numVuelo,paisOrigen,paisDestino ,fechaSalida,horaSalida ,fechaLlegada,horaLlegada,avionRef,vacantes
2323,2323,China,Thailand,10/5/2018,8:14,20/7/2017,14:33,198-22,69
2324,2324,Mexico,Libya,20/11/2010,19:54,22/3/1990,19:10,455-67,01
2325,2325,Russia,Sweden,20/11/1993,1:03,16/3/2009,18:35,691-99,03
2326,2326,Brazil,North Korea,3/5/2021,22:45,26/6/2011,8:12,018-87,14
2327,2327,Russia,Thailand,18/11/2006,15:47,29/3/1998,17:55,851-14,37
2328,2328,Ukraine,Serbia,24/3/1972,0:22,31/1/2020,23:47,358-53,09
2329,2329,China,Mexico,27/6/2020,10:30,22/12/2019,21:22,939-23,98
2330,2330,China,France,19/8/1986,0:22,17/12/1998,0:44,484-72,49
2331,2331,China,Russia,31/7/1991,2:57,26/10/2017,5:21,305-11,68
2332,2332,China,Peru,24/4/1987,20:19,31/1/1973,17:44,054-38,71
2333,2333,China,China,14/6/1998,16:25,10/2/2015,6:32,037-63,35
2334,2334,Greece,Canada,20/12/2006,5:18,7/11/2009,16:25,271-58,45
2335,2335,China,Iran,9/9/1992,8:17,1/6/1997,5:56,059-39,39
2336,2336,Argentina,Portugal,28/7/2008,21:01,2/3/2018,16:35,019-62,34
2337,2337,Russia,Sweden,15/11/2007,7:45,31/12/1995,2:43,899-87,23
2338,2338,Kosovo,United States,4/8/1994,12:52,7/3/2017,13:51,087-43,68
2339,2339,Russia,China,25/11/1979,12:41,25/1/1995,22:42,078-69,82
2340,2340,Bolivia,Poland,6/3/1979,3:28,15/2/1986,17:28,343-35,24
2341,2341,Finland,China,18/3/2001,20:37,26/1/1973,12:53,061-01,46
2342,2342,Brazil,Indonesia,22/3/2001,9:21,15/10/2020,10:58,207-29,48
2343,2343,Honduras,Argentina,4/6/2012,8:44,9/2/2000,9:52,510-52,33
2344,2344,Ukraine,Brazil,15/2/1973,10:21,12/2/1988,12:15,832-25,20
2345,2345,Philippines,Indonesia,21/8/2020,15:56,28/11/1996,19:15,167-63,02
2346,2346,Costa Rica,Indonesia,28/11/1975,16:20,26/6/2008,10:16,971-79,20
2347,2347,China,Brazil,11/9/2001,22:00,25/3/1975,9:17,580-74,34
2348,2348,Czech Republic,Indonesia,13/1/1982,0:41,24/10/1971,13:56,490-62,58
2349,2349,Sweden,Mali,21/7/1982,18:25,24/2/2010,4:33,734-39,68
2350,2350,Sweden,China,23/2/1987,4:01,31/8/2018,14:51,494-33,89
2351,2351,Malta,Czech Republic,25/7/2013,6:36,17/10/2013,0:30,133-05,47
2352,2352,Indonesia,Brazil,28/9/2012,2:01,16/10/2008,7:37,198-68,14
2353,2353,North Korea,China,29/12/1982,16:31,20/6/2018,12:43,190-22,18
2354,2354,Mongolia,Portugal,27/4/2013,1:33,8/4/1975,9:47,778-23,19
2355,2355,Poland,Croatia,23/10/1985,9:48,3/12/1989,11:18,678-14,25
2356,2356,China,China,21/1/2005,4:16,1/10/1990,12:58,037-82,33
2357,2357,Latvia,China,5/11/1992,18:20,10/2/2015,12:08,199-52,24
2358,2358,Philippines,Russia,25/12/2010,4:35,24/8/1995,15:45,685-31,86
2359,2359,Ethiopia,Poland,15/6/1980,6:17,9/10/1995,16:04,986-69,99
2360,2360,Ukraine,Indonesia,20/9/2010,6:29,11/5/1990,20:24,500-74,71
2361,2361,China,Philippines,7/6/2001,5:29,11/6/1998,18:02,540-48,81
2362,2362,Indonesia,Thailand,1/7/1997,4:46,4/8/2000,12:13,826-08,38
2363,2363,Indonesia,Jamaica,17/10/1976,0:11,6/2/1973,5:52,747-53,37
2364,2364,China,Poland,29/11/1974,23:02,10/2/1992,18:35,964-84,94
2365,2365,Russia,Ethiopia,9/1/1998,14:49,21/4/1973,2:30,573-97,22
2366,2366,Czech Republic,Egypt,2/1/2005,20:08,24/5/1989,16:49,011-05,21
2367,2367,China,Peru,23/9/1991,0:16,24/2/1988,20:12,249-08,84
2368,2368,Indonesia,Brazil,14/7/1989,21:54,26/8/1993,1:18,592-41,53
2369,2369,Brazil,Indonesia,21/12/2006,7:30,28/3/1991,6:00,649-55,11
2370,2370,Thailand,Poland,23/9/1995,10:19,18/11/1985,22:24,980-20,64
2371,2371,Indonesia,China,24/7/2009,17:22,26/11/2004,12:08,371-74,54
2372,2372,China,Japan,30/11/2018,3:06,18/4/1992,7:23,751-77,16
2373,2373,Peru,Argentina,14/3/2013,3:19,15/1/2000,20:22,384-00,04
2374,2374,China,Russia,21/3/1976,8:12,3/9/2008,13:08,173-89,51
2375,2375,China,United States,21/4/2017,10:24,19/1/2005,7:28,558-75,65
2376,2376,Portugal,Macedonia,11/2/1991,11:07,28/8/2017,20:17,329-64,37
2377,2377,South Africa,Serbia,11/11/2003,22:04,11/9/2010,22:55,457-33,84
2378,2378,United States,Portugal,24/2/1995,16:27,5/8/1982,11:21,163-16,97
2379,2379,Germany,China,7/7/1973,13:37,1/1/1974,4:13,714-00,47
2380,2380,Argentina,Finland,30/1/1996,7:46,23/12/2008,23:10,367-70,81
2381,2381,Tanzania,Bulgaria,6/1/2004,6:26,3/3/1991,2:17,800-30,27
2382,2382,China,Indonesia,14/5/1997,21:47,16/6/1993,8:40,111-63,95
2383,2383,Cuba,Kazakhstan,9/1/1991,4:16,21/6/1999,11:17,650-45,35
2384,2384,Mexico,China,13/8/1994,18:06,9/4/2001,22:39,881-35,95
2385,2385,Colombia,France,23/3/1997,20:57,16/1/1971,10:24,939-22,70
2386,2386,Nauru,Indonesia,18/1/1982,13:43,19/11/2010,17:05,468-02,78
2387,2387,Spain,United States,27/11/1983,2:15,12/8/2007,6:12,916-41,97
2388,2388,France,Madagascar,3/4/2006,18:54,9/11/1985,2:01,155-80,74
2389,2389,France,Russia,17/10/2014,4:07,30/6/2003,3:31,402-99,85
2390,2390,Ireland,Thailand,4/3/2004,9:49,27/8/2014,12:53,173-47,63
2391,2391,China,Brazil,14/6/2012,5:26,5/1/2000,3:32,729-21,41
2392,2392,China,Uganda,28/4/1975,0:58,9/11/1984,8:14,789-51,50
2393,2393,Japan,Indonesia,21/10/1984,12:51,16/1/1998,15:18,683-29,30
2394,2394,Guatemala,China,12/4/2019,6:35,6/10/1993,6:08,801-92,31
2395,2395,Latvia,Russia,30/7/2021,18:06,14/8/1984,8:46,225-08,25
2396,2396,Brazil,France,12/7/2001,6:59,4/12/1999,13:31,453-21,36
2397,2397,Philippines,Canada,18/4/2001,2:15,22/1/2000,4:55,513-85,46
2398,2398,France,China,2/3/2011,9:01,27/10/2014,8:40,973-11,03
2399,2399,Peru,Philippines,30/7/1982,21:10,5/11/2011,20:01,162-69,15
2400,2400,China,China,2/12/1983,16:46,3/9/1997,3:00,546-42,93
2401,2401,Dominican Republic,China,13/3/2008,22:29,27/8/1987,0:24,718-26,78
2402,2402,Ukraine,Kazakhstan,6/10/1996,4:51,6/6/2009,19:38,117-52,64
2403,2403,Sweden,Philippines,15/6/1985,15:56,15/11/1995,4:26,519-21,03
2404,2404,Colombia,Finland,20/10/1977,12:04,11/10/1985,17:05,524-40,60
2405,2405,China,China,4/11/2017,3:50,12/9/1985,12:12,070-59,94
2406,2406,China,Angola,7/11/2017,4:51,3/6/1986,3:04,590-58,90
2407,2407,China,Indonesia,29/12/1989,20:55,15/6/1986,19:48,927-43,49
2408,2408,Morocco,Portugal,17/11/1994,14:23,21/3/2020,16:19,541-58,50
2409,2409,Indonesia,Czech Republic,4/1/2011,10:02,10/4/2000,7:52,231-81,05
2410,2410,Benin,Venezuela,11/7/1991,3:57,2/9/2009,13:08,496-93,21
2411,2411,China,Indonesia,30/9/2019,21:13,5/2/1989,19:52,290-14,15
2412,2412,Ukraine,Lithuania,10/1/1976,9:17,13/6/1976,20:41,354-33,14
2413,2413,Ireland,Philippines,28/2/2006,2:31,13/7/2016,23:42,929-69,83
2414,2414,Vietnam,Russia,2/10/1987,10:43,16/8/1994,23:50,613-64,85
2415,2415,Poland,Poland,17/11/1982,15:06,13/9/1990,10:05,271-93,75
2416,2416,Indonesia,Pakistan,23/8/2008,18:01,21/4/2007,3:12,573-74,03
2417,2417,China,Indonesia,4/9/2017,6:08,8/6/2016,5:23,903-18,64
2418,2418,Colombia,Poland,8/8/1982,6:41,8/11/1989,0:43,155-97,54
2419,2419,Portugal,Brazil,15/3/1987,23:11,3/5/1972,8:32,129-80,16
2420,2420,Peru,Sweden,26/5/2016,3:21,29/12/2018,23:06,740-83,91
2421,2421,South Africa,Portugal,19/3/2012,18:25,25/9/2019,22:17,284-35,73
2422,2422,Lithuania,Canada,5/9/2018,18:03,23/11/1987,6:28,610-02,11
2423,2423,China,Indonesia,11/3/1979,0:16,14/1/2008,17:29,971-09,14
2424,2424,China,Azerbaijan,11/12/1988,7:56,13/3/2007,13:33,180-03,69
2425,2425,China,China,10/4/2006,3:00,12/5/1978,16:18,050-89,00
2426,2426,China,United Arab Emirates,19/5/1994,10:51,29/8/2020,3:33,222-87,42
2427,2427,South Korea,United States,29/6/1993,1:38,29/3/2006,4:50,688-67,77
2428,2428,Brazil,Malawi,16/8/1983,22:03,17/1/1979,14:15,739-94,14
2429,2429,Philippines,Philippines,8/8/1973,13:22,21/7/1981,0:58,916-82,90
2430,2430,Venezuela,Brazil,21/6/2012,14:06,31/3/2016,10:37,805-58,66
2431,2431,China,China,19/7/1978,12:19,9/9/1987,9:37,200-26,77
2432,2432,Syria,Brazil,5/8/2001,9:46,4/1/1977,15:11,831-26,82
2433,2433,China,China,20/1/1975,17:05,5/6/1978,13:09,402-75,67
2434,2434,Indonesia,Mexico,7/4/1973,11:26,1/7/1999,3:33,893-89,28
2435,2435,Venezuela,Portugal,29/7/2021,15:22,19/3/1998,16:39,060-75,30
2436,2436,Czech Republic,Indonesia,19/8/1985,15:31,14/5/1997,10:19,710-52,36
2437,2437,Norway,Russia,17/11/1971,7:12,26/7/1996,21:16,820-39,04
2438,2438,Afghanistan,Colombia,16/8/1976,15:25,12/1/2021,0:18,604-42,41
2439,2439,New Zealand,Mongolia,1/9/2006,20:48,13/2/1990,10:01,705-01,15
2440,2440,China,Tajikistan,12/5/1973,9:06,17/3/2015,8:20,491-26,36
2441,2441,Russia,United States,23/4/2021,23:08,17/5/1998,18:19,712-14,27
2442,2442,Indonesia,China,7/9/2008,21:28,10/11/2005,12:51,588-45,49
2443,2443,Indonesia,China,6/7/1989,8:26,8/7/2016,20:40,611-30,05
2444,2444,Philippines,Brazil,30/12/1989,17:56,10/5/1978,9:42,495-68,03
2445,2445,Indonesia,Colombia,25/2/1994,8:49,8/10/1992,0:30,484-76,35
2446,2446,China,Colombia,17/10/1972,8:23,2/3/1997,8:45,486-02,67
2447,2447,Philippines,Poland,15/7/2021,4:19,27/10/2004,7:07,252-28,49
2448,2448,Argentina,Palestinian Territory,25/10/1988,21:00,20/10/1990,9:23,289-87,60
2449,2449,Ireland,Philippines,6/9/2001,3:37,1/6/2017,13:23,726-57,99
2450,2450,Indonesia,Argentina,3/8/2005,20:01,17/7/1971,11:16,875-15,19
2451,2451,Philippines,China,25/7/2015,17:46,18/12/1982,14:17,556-04,75
2452,2452,Oman,China,26/1/1988,17:27,20/8/2014,23:28,547-88,20
2453,2453,Indonesia,Peru,14/4/2008,2:13,26/3/2021,13:20,150-95,64
2454,2454,China,Honduras,18/4/2012,3:04,21/6/1982,22:32,074-08,98
2455,2455,Poland,Colombia,19/8/2000,12:24,29/4/1977,14:16,377-51,50
2456,2456,Norway,Indonesia,14/4/2018,14:54,24/8/2015,8:44,597-29,42
2457,2457,Indonesia,Indonesia,8/8/1986,19:54,15/12/1988,3:06,380-03,38
2458,2458,Brazil,Indonesia,25/2/1978,0:05,25/10/2019,4:49,339-46,96
2459,2459,Kazakhstan,Ecuador,29/5/2014,19:58,7/8/2006,17:21,137-22,39
2460,2460,Philippines,United States,17/7/2010,23:02,2/12/2019,5:11,578-06,16
2461,2461,Japan,Russia,7/7/1997,17:20,19/8/2006,11:21,447-22,07
2462,2462,Brazil,Ireland,17/3/1974,0:01,27/1/2006,20:43,655-00,75
2463,2463,Kenya,Poland,14/3/1990,10:29,18/2/2013,15:28,412-85,57
2464,2464,Indonesia,Slovenia,26/7/1992,23:04,14/7/1993,16:58,045-35,21
2465,2465,Ukraine,Brazil,27/7/1981,21:15,23/12/1975,5:08,053-68,51
2466,2466,Philippines,Gambia,3/3/2016,22:12,7/7/2009,18:45,630-36,44
2467,2467,Philippines,Bhutan,26/9/1981,7:01,16/9/1985,9:42,194-78,14
2468,2468,China,Poland,24/7/1979,9:51,23/4/1974,21:11,385-35,83
2469,2469,Brazil,Italy,16/10/2020,11:02,17/2/2020,12:14,813-48,99
2470,2470,Indonesia,China,18/8/2008,20:00,16/9/1990,22:25,198-02,76
2471,2471,Indonesia,Brazil,7/4/2019,6:45,18/11/1981,13:45,193-26,35
2472,2472,Peru,Canada,20/3/1977,5:37,12/12/1973,8:04,976-68,18
2473,2473,China,France,5/10/2011,22:33,31/12/1992,10:17,388-28,35
2474,2474,France,China,11/8/1975,15:40,21/7/1977,6:14,149-64,47
2475,2475,Thailand,China,7/1/1972,5:42,11/7/2002,11:07,712-50,47
2476,2476,Portugal,Philippines,9/11/1990,17:41,2/2/2006,14:51,414-46,41
2477,2477,China,Mexico,5/12/2014,2:32,14/12/2012,21:32,616-58,12
2478,2478,Egypt,China,9/6/2013,11:09,1/6/1989,9:49,005-84,76
2479,2479,China,Mongolia,13/12/2004,4:45,27/12/1970,11:48,694-61,96
2480,2480,North Korea,China,18/4/2018,10:04,10/10/1993,22:50,561-29,15
2481,2481,China,China,10/5/1979,8:19,27/11/1991,21:06,675-77,56
2482,2482,Brazil,Argentina,9/2/2011,5:36,22/3/1984,13:41,268-24,34
2483,2483,Japan,Philippines,2/4/1972,19:28,5/3/1985,5:06,369-58,27
2484,2484,Portugal,Nicaragua,22/2/1973,4:10,19/3/1993,7:46,546-41,30
2485,2485,Hong Kong,China,1/9/1988,19:15,9/6/2021,7:11,137-53,25
2486,2486,Eritrea,Ethiopia,3/8/2010,14:14,3/10/2015,5:24,457-75,33
2487,2487,Russia,China,27/5/1980,21:45,30/5/1995,2:23,728-21,99
2488,2488,Kenya,Indonesia,6/4/2020,18:29,7/9/2013,22:51,086-07,30
2489,2489,Portugal,China,20/11/2018,13:21,15/4/1978,1:22,639-95,77
2490,2490,China,Portugal,15/1/2007,7:30,31/3/2001,15:25,906-37,88
2491,2491,Indonesia,Bangladesh,15/10/1985,12:34,28/1/2020,21:01,429-00,87
2492,2492,China,China,2/12/2003,1:23,13/8/1971,22:21,116-41,23
2493,2493,Indonesia,Poland,5/2/1979,5:49,25/10/1973,16:13,791-77,27
2494,2494,Iraq,Vietnam,14/10/1975,15:57,3/8/2016,11:38,114-71,14
2495,2495,Russia,Portugal,19/1/1986,3:08,8/12/1993,10:14,705-34,76
2496,2496,Venezuela,Nigeria,6/4/1988,18:00,20/3/1988,15:04,745-76,60
2497,2497,Argentina,Poland,23/6/1997,15:31,20/1/1989,20:39,105-78,25
2498,2498,China,Japan,7/2/1986,14:39,2/3/2016,16:23,442-61,26
2499,2499,Poland,Senegal,17/11/1990,8:00,12/8/1974,4:51,982-55,66
2500,2500,Indonesia,Czech Republic,23/8/1996,13:56,30/4/2003,11:34,359-17,24
